id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
73547,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (27 July 2001): ""Two killed in latest Bangladesh political clash"".  Reuters (28 July 2001):  ""Political violence grips Bangladesh ahead of poll"".",,,,police,1,Daganbhuiyan town,Chittagong Division,Feni District,22.936564,91.303565,POINT (91.303565 22.936564),162543,Bangladesh,771,BGD,Asia,1,1,2001-07-27,2001-07-27,0,0,2,1,3,3,3
73548,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (5 August 2001):  ""UPDATE 1-Strike over a killing paralyses Bangladeshi city"".",,,,,1,Khulna town,Khulna Division,Khulna District,22.809785,89.564389,POINT (89.564389 22.809785),162540,Bangladesh,771,BGD,Asia,1,1,2001-08-04,2001-08-04,1,0,0,0,0,1,1
73545,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (13 August 2001):  ""UPDATE 1-Political violence kills up to 13 in Bangladesh"".  AFP  (13 August 2001):  ""10 killed in Bangladesh political violence: report "".",,,,police,1,Sonagazi town,Chittagong Division,Feni District,22.851944,91.391667,POINT (91.391667 22.851944),162543,Bangladesh,771,BGD,Asia,1,1,2001-08-12,2001-08-12,0,0,0,4,4,4,10
73549,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"reuters (12/8 2001):  ""One killed, 50 hurt in Bangladesh clash"".",,,,police,1,Companiganj town,Chittagong Division,Noakhali District,22.873008,91.278211,POINT (91.278211 22.873008),162543,Bangladesh,771,BGD,Asia,1,1,2001-08-12,2001-08-12,1,0,0,0,1,1,1
73550,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"AFP (10/9 2001):  ""Bangladesh mulls army deployment as pre-poll violence kills two"".  r 11/9 2001.",,,,police,3,Bhola District,Barisal Division,Bhola District,22.366667,90.816667,POINT (90.816667 22.366667),161822,Bangladesh,771,BGD,Asia,1,1,2001-09-10,2001-09-10,0,0,0,2,2,2,2
73551,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,r 11/9 2001,,,,police,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,2001-09-10,2001-09-10,0,0,0,1,1,1,1
73552,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (Septermber 11, 2001):  ""UPDATE 1-Fresh deaths in Bangladesh political violence"".",,,,police,1,Feni town,Chittagong Division,Feni District,23.011337,91.401296,POINT (91.401296 23.011337),163263,Bangladesh,771,BGD,Asia,1,1,2001-09-10,2001-09-10,0,0,0,3,3,3,3
73553,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"r 11/9 2001.  Reuters (11 September, 2001):  ""UPDATE 1-Fresh deaths in Bangladesh political violence"".",,,,police,1,Feni town,Chittagong Division,Feni District,23.011337,91.401296,POINT (91.401296 23.011337),163263,Bangladesh,771,BGD,Asia,1,1,2001-09-11,2001-09-11,0,0,0,1,1,1,1
73554,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"r 13/9 2001:  ""Bombs and guns kill nine in Bangladesh clashes"".  The Independent (Bangladesh): ""5 killed in clashes in 4 districts"".",,,,police,1,Bhola town,Barisal Division,Bhola District,22.688612,90.640555,POINT (90.640555 22.688612),162542,Bangladesh,771,BGD,Asia,1,1,2001-09-12,2001-09-12,0,0,0,2,1,2,2
73555,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (13 September 2001):  ""Bombs and guns kill nine in Bangladesh clashes"".",,,,,1,Chittagong town,Chittagong Division,Chittagong District,22.338396,91.831685,POINT (91.831685 22.338396),161824,Bangladesh,771,BGD,Asia,1,1,2001-09-12,2001-09-12,0,0,0,2,2,2,2
73556,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"r 13/9 2001:  ""Bombs and guns kill nine in Bangladesh clashes"".  The Independent (Bangladesh): ""5 killed in clashes in 4 districts"".",,,,police,1,Khulna town,Khulna Division,Khulna District,22.809785,89.564389,POINT (89.564389 22.809785),162540,Bangladesh,771,BGD,Asia,1,1,2001-09-12,2001-09-12,0,0,0,0,0,0,1
73557,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,r 23/9 2001,,,,police,3,Bhola District,Barisal Division,Bhola District,22.366667,90.816667,POINT (90.816667 22.366667),161822,Bangladesh,771,BGD,Asia,1,1,2001-09-22,2001-09-22,2,0,0,0,2,2,2
73558,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"r 29/9 2001:  ""UPDATE 3-Bangladesh poll deaths rise, donors urge restraint",,,,police and witnesses,3,Bhola District,Barisal Division,Bhola District,22.366667,90.816667,POINT (90.816667 22.366667),161822,Bangladesh,771,BGD,Asia,1,1,2001-09-28,2001-09-28,0,0,0,3,3,3,3
73560,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"r 29/9 2001:  ""UPDATE 3-Bangladesh poll deaths rise, donors urge restraint",,,,police and witnesses,2,Chittagong town,Chittagong Division,Chittagong District,22.338396,91.831685,POINT (91.831685 22.338396),161824,Bangladesh,771,BGD,Asia,1,1,2001-09-28,2001-09-28,0,0,0,3,3,3,3
73561,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (29 September 2001):  ""UPDATE 3-Bangladesh poll deaths rise, donors urge restraint",,,,police,1,Munshiganj town,Dhaka Division,Munshiganj District,23.551667,90.534722,POINT (90.534722 23.551667),163982,Bangladesh,771,BGD,Asia,1,1,2001-09-28,2001-09-28,1,0,0,0,1,1,1
73562,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"Reuters (29 September 2001):  ""UPDATE 3-Bangladesh poll deaths rise, donors urge restraint"".",,,,local reporters,1,Maulvibazar town,Sylhet Division,Maulvibazar District,24.488877,91.770751,POINT (91.770751 24.488877),164704,Bangladesh,771,BGD,Asia,1,1,2001-09-29,2001-09-29,0,0,0,1,1,1,1
73628,2004,0,2004,2004,2,4720,BCP - PBCP,5330,BCP - PBCP,804,,BCP,805,,PBCP,-1,SATP,,,,,2,Harinakunda sub-District,Khulna Division,Jhenaidaha District,23.637778,89.040278,POINT (89.040278 23.637778),163979,Bangladesh,771,BGD,Asia,1,1,2004-02-16,2004-02-16,1,0,0,0,1,1,1
73899,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters  (1992-05-31):  ""FIVE KILLED IN ETHNIC VIOLENCE IN HILL TRACTS"".",,,,security officials,2,Kawkhali sub-District,Chittagong Division,Rangamati District,22.5447,92.002076,POINT (92.002076 22.544700),162545,Bangladesh,771,BGD,Asia,1,1,1992-05-30,1992-05-30,0,0,2,0,2,2,2
73900,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters  (1992-05-31):  ""FIVE KILLED IN ETHNIC VIOLENCE IN HILL TRACTS"".",,,,security officials,2,Kawkhali sub-District,Chittagong Division,Rangamati District,22.5447,92.002076,POINT (92.002076 22.544700),162545,Bangladesh,771,BGD,Asia,1,1,1992-05-30,1992-05-30,0,0,2,0,2,2,2
73611,1992,0,1992,1992,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (7/28/1992): ""TRIBAL REBELS KILL FOUR BANGLADESHI POLICEMEN"".",,,,security sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1992-07-28,1992-07-28,4,0,0,0,4,4,4
73692,2004,0,2004,2004,1,11350,Bangladesh: Government,11991,Government of Bangladesh - PBCP-J,143,771.0,Government of Bangladesh,1165,,PBCP-J,-1,SATP,,,,,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,2004-08-21,2004-08-21,0,1,0,0,1,1,1
